"id","lon","lat","blk","drm","gnis_name","dist_m","name_basin"
1,-126.266384124756,54.471035174021,360846413,577.441810321576,NA,11.8,"Sunset-Elwin"
2,-126.25376701355,54.477718206771,360878058,419.164879215866,"Ailport Creek",3.6,"Ailport"
3,-126.312190890312,54.5067217233188,360765936,144.900734341967,"Cesford Creek",17,"Cesford"
4,-126.341201663017,54.5104092682076,360788426,476.722095063511,"Richfield Creek",0.1,"Richfield"
5,-126.371242403984,54.5163883632774,360866287,242.71523677623,"Johnny David Creek",24.4,"Johnny David"
6,-126.42812430393,54.5153524971318,360873822,208877.813729575,"Bulkley River",0.9,"Bulkley-Johnny-David"
