"blue_line_key","downstream_route_measure","watershed_group_code","falls_name","height_m","barrier_ind"
356518455,29.0047710363862,"KOTR",,15,TRUE
356328428,630.974516979233,"UNTH",,24,TRUE
354135869,31.0060516354974,"CLAY",,14,TRUE
360847112,346.995982545225,"KLUM",,10,TRUE
359255771,1576.97425379023,"LFRT",,10,TRUE
360851903,1138.98660965179,"KINR",,15,TRUE
356559788,27873.2464554281,"ELKR",,10,TRUE
360870027,2018.31228498262,"KNIG",,6,TRUE
356355698,4697.7031998289,"UTRE",,48,TRUE
360789662,5844.42300332259,"BABL",,50,TRUE
360860437,259.011623772354,"KLUM",,20,TRUE
356566573,210.805238350665,"LARL",,60,TRUE
354141813,796.811790378083,"TSIT",,5,TRUE
354145276,3867.3587110622,"NEVI",,50,TRUE
360846353,1029.98172217685,"KINR",,7,TRUE
360730808,2837.95503813028,"BABR",,10,TRUE
360866121,539.975810516027,"TOBA",,6,TRUE
356538142,1379.52784467205,"KOTL",,7,TRUE
356362997,5726.52581849238,"FRAN",,9,TRUE
360839601,5472.53175635472,"JERV",,15,TRUE
356312355,3875.89121117816,"TAKL",,10,TRUE
356449977,1812.46481559776,"UARL",,17,TRUE
360859782,813.362099934538,"OWIK",,5,TRUE
356304068,787.586643742363,"USHU",,8,TRUE
360876129,684.947696330892,"NIEL",,8,TRUE
359571339,57003.9845089538,"FOXR",,10,TRUE
356562131,7258.01465847329,"KOTL",,5,TRUE
360725084,306.37311338175,"LNAR",,15,TRUE
360622715,320.788094039589,"NASC",,10,TRUE
360830524,934.006490305925,"GRAI",,8,TRUE
360870790,1119.71573405232,"KNIG",,20,TRUE
360801817,997.332844075177,"BABL",,30,TRUE
360870310,1421.99895455453,"TOBA",,5,TRUE
360882549,403.759954421373,"NASC",,50,TRUE
360786281,331.028301381101,"LKEL",,15,TRUE
356431852,28.920417156534,"SMAR",,10,TRUE
354155157,4917.82913308399,"ALBN",,15,TRUE
356252974,186.845873960183,"HORS",,9,TRUE
354153927,7386.25806815507,"SANJ",,,TRUE
360860937,578.018401624409,"TSAY",,8,TRUE
356562484,1427.33394283335,"UARL",,5,TRUE
360852791,3549.10601836182,"NASC",,10,TRUE
356363194,238856.15581748,"USHU",,12,TRUE
356338469,37.8921880759891,"LILL",,15,TRUE
359541467,11448.0284145136,"GATA",,20,TRUE
356343116,6514.97867952361,"UNRS",,5,TRUE
356566431,2175.7612421933,"UARL",,10,TRUE
360713908,1082.78191576922,"KLUM",,6,TRUE
360851196,3281.30258311873,"BABL",,15,TRUE
356559447,5650.97479469174,"KETL",,10,TRUE
354150004,2482.4746679257,"ALBN",,6,TRUE
360810808,1651.97863577413,"GRAI",,5,TRUE
360582359,167.02952733264,"WORC",,6,TRUE
354152655,550.423424866967,"CLAY",,5,TRUE
360863453,964.744780667019,"JERV",,12,TRUE
354136643,1651.01413276289,"SANJ",,6,TRUE
354148665,546.085664920797,"CLAY",,6.1,TRUE
354135264,657.989834071347,"HOLB",,5,TRUE
360844953,1595.54703873403,"SQAM",,10,TRUE
356567797,13136.7665616252,"SMAR",,10,TRUE
360569502,223.077947446274,"BABL",,10,TRUE
354149545,9633.00483327902,"GOLD",,30,TRUE
360883731,16632.5070318081,"KINR",,8,TRUE
359568526,41593.9961093962,"UPRO",,5,TRUE
354136716,900.80132170094,"ALBN",,18,TRUE
359363052,192.95655978205,"LFRT",,15,TRUE
356291889,1068.43426193603,"LNRS",,25,TRUE
356362373,9612.43146805028,"LNIC",,4.5,TRUE
360881181,6418.00966684806,"KLUM",,10,TRUE
360833470,27.9745943357181,"OWIK",,40,TRUE
360872910,901.988263906107,"BABL",,15,TRUE
354130099,1350.27434796519,"CAMB",,6,TRUE
360869906,18442.9968793499,"KLUM",,8,TRUE
356548341,53.2465625761809,"SLOC",,20,TRUE
359423811,3189.08067824185,"PARS",,24,TRUE
356565245,179.017766946425,"KOTL",,30,TRUE
360802867,1840.01100255907,"NASC",,8,TRUE
356342651,1598.02957162875,"FRAN",,9,TRUE
360881145,4609.79712924199,"KISP",,5,TRUE
356487475,3272.00478746174,"KOTL",,20,TRUE
360861362,752.977289511887,"TSAY",,5,TRUE
356512949,298.024759439132,"KOTL",,5,TRUE
356522953,1269.41029114125,"REVL",,25,TRUE
354124975,65.5367652801042,"NEVI",,12,TRUE
360821001,5104.9506826596,"KLUM",,10,TRUE
354148505,4137.71456672523,"PARK",,6,TRUE
356528119,11387.2836714155,"ELKR",,5,TRUE
360816801,5209.02210146864,"GRAI",,12,TRUE
356552610,673.976910889015,"DUNC",,5,TRUE
360853321,82.3712761846696,"GRAI",,5,TRUE
359556089,1633.60631618647,"KISK",,5,TRUE
360866765,17815.6609312245,"LNAR",,5,TRUE
356363449,1087.96997855609,"SETN",,20,TRUE
356546990,9642.50970740081,"KHOR",,30,TRUE
359566711,1398.03556203753,"LIAR",,50,TRUE
356268087,329.951997278772,"COTR",,21,TRUE
360769845,519.31644214792,"SQAM",,25,TRUE
354150272,702.805899278947,"CLAY",,10,TRUE
360633443,357.996659816487,"LNAR",,80,TRUE
354098229,813.978490111771,"HOLB",,5,TRUE
360887192,26.9321851725156,"KINR",,30,TRUE
360677333,793.9913776485,"TSAY",,15,TRUE
356544333,14529.5546051508,"SMAR",,50,TRUE
360884166,110.990403361274,"KLUM",,50,TRUE
360787281,4332.00120149236,"MORI",,5,TRUE
360843792,772.61047554301,"NASC",,7,TRUE
360260837,215.972543356127,"KLUM",,35,TRUE
360844638,17732.2712193652,"OWIK",,5,TRUE
356362373,8938.45264415557,"LNIC",,1,TRUE
356229715,132.006591100312,"FRAN",,20,TRUE
359486367,1410.97489322226,"MURR",,16,TRUE
356363888,17844.7887543767,"HERR",,,TRUE
360863623,2033.99477686026,"TSAY",,5,TRUE
356364206,2067.01511416291,"HERR",,6,TRUE
360801600,11794.2319516911,"GRAI",,15,TRUE
356569175,22450.9835787796,"COLR",,10,TRUE
360856823,426.053080143016,"KNIG",,6.8,TRUE
360849268,3514.02512060986,"LDEN",,5,TRUE
360729631,952.991253796778,"OWIK",,10,TRUE
360774623,192.991748838365,"BABR",,10,TRUE
356332635,741.660411324234,"QUES",,15,TRUE
360872978,2236.03447104406,"KINR",,18,TRUE
360737659,28.0097586632932,"KLUM",,7,TRUE
360839601,4926.59235115204,"JERV",,15,TRUE
359536716,1102.01952646347,"UHAF",,30,TRUE
360512233,468.9466038716,"LNAR",,100,TRUE
356361157,16633.6247480281,"HARR",,6,TRUE
360857138,9704.97866215694,"BABR",,7,TRUE
356565457,840.994929732058,"UARL",,11,TRUE
