watershed_group_code,blue_line_key,downstream_route_measure,wscode_ltree,localcode_ltree
UNUR,360885895,44485.442,960.195906,960.195906.383023
UOMI,359571933,89150.479,200.948755.944288,200.948755.944288.335322
UPCE,359572348,1584918.071,200.948755,200.948755.810343
UPET,359570070,240234.633,200.692231.270936,200.692231.270936.544657
UPRO,359571732,156956.618,200.692231.350733.577347.047212,200.692231.350733.577347.047212.552328
USHU,355991940,0,100.190442.999098.995997.730848,100.190442.999098.995997.730848.384299
USIK,359570776,115851.379,200.692231.350733.999566,200.692231.350733.999566.299636
USKE,360887278,505599.116,400,400.807623
USTK,360886273,424562.892,600,600.683111
UTRE,356363076,28521.353,100.567134.179319.815989,100.567134.179319.815989.377450
VICT,354151971,0,920.232404,920.232404
WILL,356360570,152.675,100.594120,100.594120
WORC,360861249,0,910.881783,910.881783
ZYMO,360881231,392.616,400.221484,400.221484
